player_id,name,match_tier,club_before,club_after,league_before,league_after
262403,Philippe Rommens,id,Ferencvárosi Torna Club,Ferencvárosi TC,Nemzeti Bajnokság I,Magyar Liga
205970,Jed Wallace,id,West Bromwich Albion,West Brom,Championship,EFL Championship
266673,Óscar Cortés,id,Real Sporting de Gijón,R. Sporting,La Liga 2,LALIGA HYPERMOTION
268439,Toby Collyer,id,West Bromwich Albion,West Brom,Championship,EFL Championship
269795,Martin Delavallée,id,Royal Charleroi Sporting Club,Sp. Charleroi,Pro League,1A Pro League
207440,Franco Fragapane,id,Club Atlético Unión,Unión,Liga Profesional de Fútbol,LPF
226675,Federico Lanzillotta,id,Bolívar,,División de Fútbol Profesional,Libertadores
245822,Doğan Alemdar,id,Medipol Başakşehir FK,Stade Rennais FC,Süper Lig,Ligue 1 McDonald's
247412,Andy Pelmard,id,Jagiellonia Białystok,Jagiellonia,Ekstraklasa,PKO BP Ekstraklasa
255605,Harlen Castillo,id,Atlético Nacional,Atl. Nacional,Categoría Primera A,Libertadores
263437,Ignacio Sosa,id,Peñarol,,Primera División,Libertadores
272844,Lucas Arce,id,Godoy Cruz,,Liga Profesional de Fútbol,LPF
193241,Roberto Fernández,id,Cerro Porteño,,División Profesional,Libertadores
226260,Andrea Cistana,id,Spezia,,Serie B,Serie BKT
228509,Jeff Reine-Adélaïde,id,Heracles Almelo,,Eredivisie,Eredivisie
253296,Mathías Laborda,id,Vancouver Whitecaps FC,Whitecaps FC,Major League Soccer,MLS
201911,Will Keane,id,Preston North End,Preston,Championship,EFL Championship
203782,Ahmad Benali,id,Virtus Entella,Entella,Serie B,Serie BKT
217585,Bas Kuipers,id,FC Twente,,Eredivisie,Eredivisie
221639,Mariano,id,Deportivo Alavés,D. Alavés,La Liga,LALIGA EA SPORTS
222052,Lee Myung Jae,id,Daejeon Citizen,Daejeon Hana,K League 1,K League 1
232729,Cristian Tarragona,id,Club Atlético Unión,Unión,Liga Profesional de Fútbol,LPF
241002,Emmanuel Sabbi,id,Vancouver Whitecaps FC,Whitecaps FC,Major League Soccer,MLS
243315,Dani Gómez,id,Real Zaragoza,,La Liga 2,LALIGA HYPERMOTION
188154,Lewis Holtby,id,NAC Breda,,Eredivisie,Eredivisie
225282,José Devecchi,id,Club Atlético Sarmiento,Sarmiento,Liga Profesional de Fútbol,LPF
242112,Eduard Bello,id,Universidad Católica,Uni. Católica,Primera Division,Liga Chile
242506,Ali Majrashi,id,Al Ahli SFC,Al Ahli,Pro League,ROSHN Saudi League
243834,Luka Ilić,id,Real Oviedo,R. Oviedo,La Liga,LALIGA EA SPORTS
251288,Jakov Medić,id,Norwich City,Norwich,Championship,EFL Championship
267607,Frank Castañeda,id,CA Banfield,Banfield,Liga Profesional de Fútbol,LPF
204760,Charlie Taylor,id,West Bromwich Albion,West Brom,Championship,EFL Championship
220291,Leonel González,id,FBC Melgar,,Liga 1,Sudamericana
232123,Luka Gugeshashvili,id,PAOK,PAOK FC,Super League,Hellas Liga
247955,Ianis Stoica,id,Estrela da Amadora,Estrela Amadora,Primeira Liga,Liga Portugal
253170,Attila Szalai,id,Kasımpaşa SK,Kasımpaşa,Süper Lig,Trendyol Süper Lig
263230,Milutin Osmajić,id,Preston North End,Preston,Championship,EFL Championship
264180,Alfie Devine,id,Preston North End,Preston,Championship,EFL Championship
273051,Jerónimo Domina,id,Club Atlético Unión,Unión,Liga Profesional de Fútbol,LPF
274102,Oliver Scarles,id,West Ham United,West Ham,Premier League,Premier League
71641,Leo Kokubo,id,Sint-Truidense VV,STVV,Pro League,1A Pro League
233139,Cedric Itten,id,Fortuna Düsseldorf,Düsseldorf,2. Bundesliga,Bundesliga 2
240956,Matías Melluso,id,Gimnasia y Esgrima La Plata,Gimnasia,Liga Profesional de Fútbol,LPF
253433,Femi Azeez,id,Millwall FC,Millwall,Championship,EFL Championship
254220,Luis Iberico,id,Sporting Cristal,,Liga 1,Libertadores
278159,Ramzi Safuri,id,Antalyaspor,,Süper Lig,Trendyol Süper Lig
73406,Meriton Korenica,id,CFR Cluj,CFR 1907 Cluj,Liga I,SUPERLIGA
205759,Dejan Stojanović,id,SC Rheindorf Altach,SCR Altach,Bundesliga,Ö. Bundesliga
209039,David Moberg Karlsson,id,IFK Norrköping,,Allsvenskan,Allsvenskan
213899,Éder Balanta,id,América de Cali,,Categoría Primera A,Sudamericana
227274,David Barbona,id,Defensa y Justicia,Defensa,Liga Profesional de Fútbol,LPF
241064,Mateo Carabajal,id,Independiente del Valle,,Serie A,Libertadores
255436,Lucas Sanabria,id,Libertad,,División Profesional,Libertadores
258932,Louie Barry,id,Sheffield United,Sheffield Utd,Championship,EFL Championship
275343,Baltasar Rodríguez,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
190633,Henrik Dalsgaard,id,Aarhus Gymnastikforening,AGF,Superliga,3F Superliga
201438,Hannes Van Der Bruggen,id,Cercle Brugge KSV,Cercle Brugge,Pro League,1A Pro League
219167,Sergio Vittor,id,CA Banfield,Banfield,Liga Profesional de Fútbol,LPF
219956,Pietro Ceccaroni,id,Palermo FC,Palermo,Serie B,Serie BKT
224890,Miguel Cardoso,id,Kayserispor,,Süper Lig,Trendyol Süper Lig
246592,Algobia,id,AVS Futebol SAD,,Primeira Liga,Liga Portugal
259833,Jhilmar Lora,id,Sporting Cristal,,Liga 1,Libertadores
272839,Matías Giménez,id,Argentinos Juniors,Argentinos Jrs.,Liga Profesional de Fútbol,LPF
273707,Lucas Hernández,id,Peñarol,,Primera División,Libertadores
194138,Andre Gray,id,Fatih Karagümrük,,Süper Lig,Trendyol Süper Lig
204691,Mauricio Pereyra,id,Club Nacional de Football,,Primera División,Libertadores
208159,Michael Frey,id,Queens Park Rangers,QPR,Championship,EFL Championship
251951,Manuel Cicconi,id,Carrarese,Carrarese Calcio,Serie B,Serie BKT
271659,Aljoscha Kemlein,id,1. FC Union Berlin,Union Berlin,Bundesliga,Bundesliga
262334,Dirk Proper,id,NEC Nijmegen,,Eredivisie,Eredivisie
263255,Godfried Frimpong,id,Kasımpaşa SK,Kasımpaşa,Süper Lig,Trendyol Süper Lig
264219,Ernest Poku,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
272857,Santiago Rodríguez,id,Club Atlético Sarmiento,Sarmiento,Liga Profesional de Fútbol,LPF
274212,Pau Sans,id,Real Zaragoza,,La Liga 2,LALIGA HYPERMOTION
277426,Carlos Forbs,id,Club Brugge KV,Club Brugge,Pro League,1A Pro League
79334,Raul Florucz,id,Union Saint-Gilloise,R. Union St.-G.,Pro League,1A Pro League
219525,Ezequiel Cerutti,id,San Lorenzo de Almagro,San Lorenzo,Liga Profesional de Fútbol,LPF
236344,Jayson Molumby,id,West Bromwich Albion,West Brom,Championship,EFL Championship
239875,Bebeto,id,CD Tondela,,Primeira Liga,Liga Portugal
243445,Fatih Kaya,id,SV Wehen Wiesbaden,Wehen Wiesbaden,3. Liga,3. Liga
255754,Warleson,id,Cercle Brugge KSV,Cercle Brugge,Pro League,1A Pro League
262906,Yannik Engelhardt,id,Borussia Mönchengladbach,M'gladbach,Bundesliga,Bundesliga
271306,Khalil Fayad,id,Montpellier HSC,Montpellier,Ligue 2,Ligue 2 BKT
73853,Dailon Livramento,id,Casa Pia,Casa Pia AC,Primeira Liga,Liga Portugal
200741,Jiang Guangtai,id,Shanghai Port,Shanghai Port FC,Super League,CSL
203725,Virgil Misidjan,id,NEC Nijmegen,,Eredivisie,Eredivisie
212244,Christopher Lenz,id,Fortuna Düsseldorf,Düsseldorf,2. Bundesliga,Bundesliga 2
235047,Jonathan Menéndez,id,Club Atlético San Martín,,Liga Profesional de Fútbol,LPF
239179,Zoran Arsenić,id,Raków Częstochowa,Raków,Ekstraklasa,PKO BP Ekstraklasa
241992,Gabriel Cortez,id,Barcelona de Guayaquil,,Serie A,Libertadores
258728,José Fontán,id,FC Arouca,Arouca,Primeira Liga,Liga Portugal
270854,Pedro Milans,id,Peñarol,,Primera División,Libertadores
273768,Santiago Longo,id,Belgrano de Córdoba,Belgrano,Liga Profesional de Fútbol,LPF
251880,Ștefan Baiaram,id,Universitatea Craiova,Univ. Craiova,Liga I,SUPERLIGA
258786,Zé Carlos,id,Gil Vicente FC,Gil Vicente,Primeira Liga,Liga Portugal
268622,Jeanuël Belocian,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
225679,Luis Cangá,id,Universidad Católica del Ecuador,,Serie A,Sudamericana
234935,João Talocha,id,CD Tondela,,Primeira Liga,Liga Portugal
240834,Lazar Carević,id,Famalicão,FC Famalicão,Primeira Liga,Liga Portugal
241523,Marcus Forss,id,Bolton Wanderers,Bolton,League One,EFL League One
242492,Jeison Medina,id,LDU Quito,,Serie A,Libertadores
247060,Yahia Nader,id,Al Ain,Al Ain FC,Pro League,United Emirates League
257396,Brandon Domingues,id,Real Oviedo,R. Oviedo,La Liga,LALIGA EA SPORTS
258753,Couhaib Driouech,id,PSV,,Eredivisie,Eredivisie
274845,Mathys Tourraine,id,Rodez Aveyron Football,Rodez AF,Ligue 2,Ligue 2 BKT
212546,Myenty Abena,id,Gaziantep FK,Gaziantep,Süper Lig,Trendyol Süper Lig
234108,Gonzalo Maroni,id,Newell's Old Boys,Newell's,Liga Profesional de Fútbol,LPF
246682,Karamoko Dembélé,id,Queens Park Rangers,QPR,Championship,EFL Championship
269084,Umut Tohumcu,id,TSG 1899 Hoffenheim,TSG Hoffenheim,Bundesliga,Bundesliga
271969,Nicolás Paz,id,Club Atlético Unión,Unión,Liga Profesional de Fútbol,LPF
213530,Nicolai Poulsen,id,Aarhus Gymnastikforening,AGF,Superliga,3F Superliga
214906,Andrew Hughes,id,Preston North End,Preston,Championship,EFL Championship
251831,Diego García,id,Peñarol,,Primera División,Libertadores
257480,Matheo Raab,id,1. FC Union Berlin,Union Berlin,Bundesliga,Bundesliga
262417,Daniel Figueira,id,Gil Vicente FC,Gil Vicente,Primeira Liga,Liga Portugal
232826,Francis Mac Allister,id,Instituto Atlético Central Córdoba,Instituto,Liga Profesional de Fútbol,LPF
